id,coding_score,handwritten_score,final_score,final_score_adj
0,,,0.7377049180327869,0.6163934426229508
1,0.9285714285714286,,0.7540983606557377,0.639344262295082
3,0.8571428571428571,1.0,0.8360655737704918,0.5901639344262295
6,,1.0,0.5081967213114754,0.26229508196721313
9,0.9047642857142858,,0.6721311475409836,0.5114754098360655
11,0.9285714285714286,1.0,0.9180327868852459,0.43934426229508194
12,,,0.09836065573770492,0.019672131147540985
15,1.0,1.0,0.3442622950819672,0.19672131147540983
20,,,0.5737704918032787,0.35737704918032787
24,,,1.0,0.8032786885245902
26,,1.0,0.7377049180327869,0.5016393442622951
27,1.0,1.0,0.5409836065573771,0.4163934426229508
28,,,0.5573770491803278,0.34098360655737703
29,1.0,,0.6721311475409836,0.5180327868852459
30,,1.0,0.8524590163934426,0.5245901639344263
33,0.9047642857142858,,0.5409836065573771,0.35737704918032787
38,,1.0,0.7213114754098361,0.4885245901639344
40,,,0.6229508196721312,0.3081967213114754
41,1.0,,0.5081967213114754,0.2262295081967213
46,,1.0,0.6065573770491803,0.4131147540983607
48,,,0.4426229508196721,0.33114754098360655
51,0.7857142857142857,1.0,0.9180327868852459,0.6557377049180327
53,1.0,,0.6229508196721312,0.4491803278688525
56,,,0.7868852459016393,0.6032786885245902
58,,1.0,0.45901639344262296,0.2262295081967213
61,1.0,,1.0,0.5836065573770491
63,1.0,1.0,0.7213114754098361,0.3016393442622951
64,,,0.8688524590163934,0.8295081967213115
66,,1.0,1.0,0.8229508196721311
80,,,0.7377049180327869,0.5639344262295082
88,,,0.13114754098360656,0.0
