section,confidence,n,mean_score
1,0.0,52,0.28557692307692306
1,1.0,28,0.3321428571428572
1,2.0,28,0.5482142857142857
1,3.0,57,0.7228070175438597
1,4.0,67,0.8149253731343283
1,5.0,81,0.9574074074074074
2,0.0,16,0.3125
2,1.0,17,0.34411764705882353
2,2.0,29,0.7258620689655173
2,3.0,45,0.63
2,4.0,58,0.7612068965517241
2,5.0,48,0.7677083333333333
3,0.0,22,0.18181818181818182
3,1.0,11,0.509090909090909
3,2.0,19,0.6947368421052631
3,3.0,39,0.7666666666666666
3,4.0,49,0.9132653061224489
3,5.0,22,0.9545454545454546
4,0.0,19,0.18947368421052632
4,1.0,13,0.4461538461538461
4,2.0,25,0.53
4,3.0,48,0.7239583333333334
4,4.0,47,0.851063829787234
4,5.0,36,0.9722222222222222
