subquestion,confidence,n,mean_score,std_score
1.1,1.0,1,1.0,
1.1,2.0,4,0.5625,0.42695628191498325
1.1,3.0,6,0.7916666666666666,0.24579802006254378
1.1,4.0,15,0.8,0.270581384641083
1.1,5.0,5,0.85,0.13693063937629152
1.2,1.0,1,0.8,
1.2,2.0,5,0.6,0.5477225575051662
1.2,3.0,11,0.9272727272727272,0.1618079669911781
1.2,4.0,7,0.9428571428571428,0.0975900072948533
1.2,5.0,7,0.7999999999999999,0.3829708431025352
1.3,0.0,1,1.0,
1.3,1.0,3,0.6666666666666666,0.5773502691896258
1.3,2.0,5,0.6,0.5477225575051661
1.3,3.0,14,0.7142857142857143,0.46880723093849547
1.3,4.0,6,1.0,0.0
1.3,5.0,2,1.0,0.0
1.4,0.0,1,0.5,
1.4,1.0,2,0.125,0.1767766952966369
1.4,2.0,8,0.8125,0.37201190457142247
1.4,3.0,10,0.65,0.4743416490252569
1.4,4.0,9,0.9444444444444444,0.16666666666666666
1.4,5.0,1,1.0,
2.1,0.0,2,0.0,0.0
2.1,2.0,2,0.0,0.0
2.1,3.0,3,0.6666666666666666,0.5773502691896258
2.1,4.0,12,0.8333333333333334,0.38924947208076144
2.1,5.0,11,0.8181818181818182,0.40451991747794525
2.2,0.0,1,1.0,
2.2,2.0,3,0.6666666666666666,0.5773502691896258
2.2,3.0,6,0.5,0.5477225575051661
2.2,4.0,8,1.0,0.0
2.2,5.0,13,1.0,0.0
2.3,0.0,2,1.0,0.0
2.3,2.0,5,1.0,0.0
2.3,3.0,4,1.0,0.0
2.3,4.0,8,1.0,0.0
2.3,5.0,11,1.0,0.0
2.4,0.0,3,0.0,0.0
2.4,1.0,3,0.6666666666666666,0.5773502691896258
2.4,2.0,3,0.0,0.0
2.4,3.0,3,0.6666666666666666,0.5773502691896258
2.4,4.0,6,0.6666666666666666,0.5163977794943223
2.4,5.0,12,1.0,0.0
3.1,1.0,1,0.0,
3.1,2.0,2,0.5,0.7071067811865476
3.1,3.0,3,0.3333333333333333,0.5773502691896258
3.1,4.0,6,1.0,0.0
3.1,5.0,17,0.8823529411764706,0.3321055820775357
3.2,0.0,3,0.0,0.0
3.2,1.0,2,0.0,0.0
3.2,2.0,3,0.6666666666666666,0.5773502691896258
3.2,3.0,4,0.75,0.5
3.2,4.0,8,0.75,0.4629100498862757
3.2,5.0,9,0.8888888888888888,0.3333333333333333
3.3,0.0,2,1.0,0.0
3.3,1.0,1,0.0,
3.3,2.0,5,0.6,0.5477225575051661
3.3,3.0,3,0.3333333333333333,0.5773502691896258
3.3,4.0,9,1.0,0.0
3.3,5.0,9,0.8888888888888888,0.3333333333333333
3.4,0.0,3,0.0,0.0
3.4,1.0,4,0.0,0.0
3.4,3.0,9,0.7777777777777778,0.44095855184409843
3.4,4.0,3,1.0,0.0
3.4,5.0,9,0.7777777777777778,0.44095855184409843
3.5,0.0,11,0.09090909090909091,0.30151134457776363
3.5,1.0,6,0.16666666666666666,0.408248290463863
3.5,2.0,1,1.0,
3.5,3.0,5,0.6,0.5477225575051661
3.5,4.0,4,1.0,0.0
3.5,5.0,1,1.0,
4.1,0.0,8,0.375,0.5175491695067657
4.1,1.0,7,0.7142857142857143,0.4879500364742666
4.1,2.0,5,0.8,0.4472135954999579
4.1,3.0,4,0.75,0.5
4.1,4.0,5,0.6,0.5477225575051661
4.1,5.0,1,1.0,
5.1,0.0,3,0.3333333333333333,0.5773502691896258
5.1,1.0,2,0.5,0.7071067811865476
5.1,2.0,1,1.0,
5.1,3.0,4,1.0,0.0
5.1,4.0,12,0.8333333333333334,0.38924947208076144
5.1,5.0,8,1.0,0.0
5.2,0.0,12,0.0,0.0
5.2,1.0,3,0.0,0.0
5.2,2.0,2,0.5,0.7071067811865476
5.2,3.0,2,1.0,0.0
5.2,4.0,9,0.7777777777777778,0.44095855184409843
5.2,5.0,1,0.0,
5.3,0.0,6,0.3666666666666667,0.42739521132865615
5.3,1.0,3,0.7999999999999999,0.20000000000000007
5.3,2.0,5,0.76,0.433589667773576
5.3,3.0,9,0.8,0.33166247903553997
5.3,4.0,4,0.9,0.19999999999999996
5.3,5.0,3,1.0,0.0
5.4,0.0,10,0.4,0.5163977794943222
5.4,1.0,6,0.3333333333333333,0.5163977794943223
5.4,2.0,4,0.25,0.5
5.4,3.0,5,0.6,0.5477225575051661
5.4,4.0,4,0.5,0.5773502691896257
5.4,5.0,1,1.0,
