section,confidence,n,mean_score
1,0.0,13,0.19230769230769232
1,1.0,4,0.5
1,2.0,5,0.4
1,3.0,12,0.6541666666666667
1,4.0,25,0.8140000000000001
1,5.0,21,0.9523809523809523
2,0.0,2,0.0
2,1.0,5,0.41
2,2.0,6,0.6333333333333333
2,3.0,8,0.6
2,4.0,22,0.8113636363636364
2,5.0,26,0.8115384615384615
3,0.0,11,0.09090909090909091
3,1.0,6,0.5
3,2.0,13,0.7692307692307693
3,3.0,13,0.7769230769230769
3,4.0,24,0.9479166666666666
3,5.0,5,1.0
4,0.0,4,0.25
4,1.0,3,0.0
4,2.0,18,0.6388888888888888
4,3.0,20,0.6
4,4.0,14,0.9107142857142857
4,5.0,5,1.0
